sentence1,relation,relationscore,structure,structurescore
A woman is slicing garlics.,Garlics are slicing a woman.,0,"Slicing garlics, a woman is.",4
A man is speaking.,A person is speaking a man.,4,"Speaking, a man is.",3
A little boy is singing and playing a guitar.,A guitar is singing and playing a little boy.,1,"Singing and playing a guitar, a little boy is.",3
A turtle is swimming in water.,Water is swimming around a turtle.,2,"Swimming in water, a turtle is.",3
A young woman is putting stickers all over her face.,Stickers are putting all over the face of a young woman.,4,"All over her face, stickers a young woman is putting.",3
A woman is wrapping tofu.,Tofu is wrapping a woman.,2,"Wrapping tofu, a woman is.",4
A cat is eating some corn.,Corn is eating some cat.,0,"Eating some corn, a cat is.",4
A man is eating a food.,A food is eating a man.,0,"A food, a man is eating.",3
A man is kicking pots of water.,Pots of water are kicking a man.,1,"Pots of water, kicking a man is.",1
A man is cutting a pipe with scissors.,Scissors are cutting a pipe with a man.,2,"A pipe with scissors, cutting a man is.",1
A woman is dancing in the rain.,Rain is dancing around a woman.,2,"In the rain, a woman is dancing.",4
A woman is taking a bath.,A bath is taking a woman.,2,"A bath, taking a woman is.",2
A man mixes vegetables in a pot.,Vegetables mix a man in a pot.,2,Vegetables are being mixed in a pot by a man.,5
A woman is talking on a cell phone.,A cell phone is talking to a woman.,2,"On a cell phone, a woman is talking.",4
A man is cutting apple by his hand.,A hand is cutting an apple by a man.,5,"By his hand, apple is being cut by a man.",4
A man is opening a door.,A door is opening a man.,2,A door is being opened by a man.,5
A man is cutting paper with a sword.,Cutting paper with a sword is a man.,2,"With a sword, paper is being cut by a man.",2
A boy studies a calendar.,Studying a calendar is a boy.,3,A calendar is being studied by a boy.,3
The ballerina is dancing.,Dancing is the ballerina.,4,"Dancing, the ballerina is.",4
The man is kissing and hugging the woman.,The woman is kissing and hugging the man.,4,"Kissing and hugging the woman, the man is.",4
A train is moving.,Moving is a train.,0,"Moving, a train is.",3
Someone is slicing an onion.,An onion is slicing someone.,0,An onion is being sliced by someone.,5
A woman is playing in the ocean.,"In the ocean, a woman is playing.",2,"In the ocean, a woman is playing.",5
A person is playing an electronic keyboard.,An electronic keyboard is being played by a person.,2,"Playing an electronic keyboard, a person is.",5
A man is holding a leaf.,Holding a leaf is a man.,0,"Holding a leaf, a man is.",4
A woman is peeling shrimp.,Peeling shrimp is a woman.,0,Shrimp is being peeled by a woman.,5
A man is sitting and smoking.,Sitting and smoking is a man.,0,"Sitting and smoking, a man is.",4
A man is standing in front of the window and looking outside.,Standing in front of the window and looking outside is a man.,4,"In front of the window and looking outside, a man is standing.",5
A skunk is looking here and there.,Here and there are looking a skunk.,3,"Looking here and there, a skunk is.",4
A man is playing the guitar and singing.,"Singing and playing the guitar, a man is.",4,"Playing the guitar and singing, a man is.",5
A woman opens a window.,"Opens a window, a woman.",4,"Opening a window, a woman is.",4
People are dancing outside.,"Outside, people are dancing.",4,"Outside, dancing, people are.",4
The man is using a camera to hammer a nail.,"To hammer a nail, the man is using a camera.",4,"Using a camera to hammer a nail, the man is.",5
A woman is filing her nails.,"Filing her nails, a woman is.",4,"Filing her nails, a woman is.",4
A boy is crawling into a dog house.,"Into a dog house, a boy is crawling.",4,"Into a dog house, crawling, a boy is.",4
A woman is swimming underwater.,"Swimming underwater, a woman is.",4,"Underwater, swimming, a woman is.",5
A machine is sharpening a pencil.,"Sharpening a pencil, a machine is.",4,"Sharpening a pencil, a machine is.",4
A monkey is playing drums.,"Playing drums, a monkey is.",4,"Playing drums, a monkey is.",5
A person is peeling a potato with a potato peeler.,A potato peeler is peeling a person.,1,A potato is being peeled by a person using a potato peeler.,5
Two women are dancing and singing in front of a crowd.,A crowd is dancing and singing in front of two women.,4,"In front of a crowd, two women are dancing and singing.",4
A man is seasoning some carrots.,Some carrots are seasoning a man.,1,Some carrots are being seasoned by a man.,5
Two men pushed carts through the woods.,The woods were pushed by two men with carts.,2,"Through the woods, carts were pushed by two men.",3
A man is playing a football.,A football is playing a man.,1,A football is being played by a man.,3
The lady peeled the potatoe.,The potato peeled the lady.,1,The potato was peeled by the lady.,5
A woman is slicing some tofu.,Some tofu is slicing a woman.,0,Some tofu is being sliced by a woman.,5
Someone typed on a keyboard.,"On a keyboard, someone typed.",4,"On a keyboard, someone typed.",5
"Three young men run, jump, and kick off of a Coke machine.","Off of a Coke machine, three young men run, jump, and kick.",3,"Run, jump, and kick off of a Coke machine, three young men do.",5
A young Asian girl is applying eyeliner.,Eyeliner is being applied by a young Asian girl.,4,Eyeliner is being applied by a young Asian girl.,5
A cat is walking around a house.,A house is walking around a cat.,0,"Walking around a house, a cat is.",4
A woman is talking to her pet bunny as she fondles it.,Her pet bunny is talking to a woman as it fondles her.,0,"As she fondles it, a woman is talking to her pet bunny.",5
A man is riding a white horse on an enclosed ground.,"On an enclosed ground, a white horse is riding a man.",0,"On an enclosed ground, a man is riding a white horse.",5
An oriental lady is cutting a carrot into thin pieces.,A carrot into thin pieces is cutting an oriental lady.,0,A carrot is being cut into thin pieces by an oriental lady.,5
A group of people are dancing.,Dancing are a group of people.,0,"Dancing, a group of people are.",4
A woman mixes up vegetables.,Vegetables mix up a woman.,0,"Up vegetables, a woman mixes.",3
A woman pours a mixture into a bowl and mixes it.,"Into a bowl and mixes it, a woman pours a mixture.",0,"Into a bowl and mixes it, a woman pours a mixture.",4
A man is cutting pieces of butter into a mixing bowl.,"Into a mixing bowl, pieces of butter is cutting a man.",0,Pieces of butter are being cut into a mixing bowl by a man.,5
A man is putting garlic on some bread slices.,Some bread slices are putting garlic on a man.,0,"Putting garlic on some bread slices, a man is.",5
The panda bear lay on the logs.,On the logs lay the panda bear.,5,"On the logs, lay the panda bear.",5
Five men jump into a swimming pool.,A swimming pool jumps into five men.,1,"Into a swimming pool, jump five men.",4
A cheetah is running behind its prey.,"Behind its prey, a cheetah is running.",5,The prey is being chased by a cheetah.,5
A cat is playing on the floor.,"On the floor, playing a cat is.",5,"On the floor, a cat is playing.",5
A boy is playing violin on stage.,"On stage, playing violin a boy is.",5,"On stage, playing violin is a boy.",5
A dog is barking at a toy.,"At a toy, barking a dog is.",5,"At a toy, barking is a dog.",5
A woman is slicing ginger.,Ginger is slicing a woman.,2,"Slicing ginger, is a woman.",2
A man is dragging a dead deer.,A dead deer is dragging a man.,2,A dead deer is being dragged by a man.,5
A man is preparing a snake for cooking.,The snake is preparing a man for cooking.,1,"Preparing a snake for cooking, a man is.",5
A woman is spreading mustard on a bread roll.,The bread roll is spreading mustard on a woman.,0,"On a bread roll, mustard is being spread by a woman.",4
Someone touched the kitten chewing on a string.,The kitten chewing on a string touched someone.,5,"The kitten chewing on a string, someone touched.",3
Meat is being put into a skillet.,A skillet is being put into meat.,2,"Put into a skillet, meat is being.",3
A baby elephant is eating a small tree.,A small tree is eating a baby elephant.,1,"Eating a small tree, a baby elephant is.",4
A woman and man are dancing in the rain.,Rain is dancing with a woman and man.,2,"In the rain, a woman and man are dancing.",5
Someone is drawing.,Someone is being drawn.,2,"Drawing, someone is.",5
Two men are fistfighting in a ring.,A ring is fistfighting with two men.,1,"In a ring, two men are fistfighting.",5
A person wipes butter on a tray.,A tray wipes butter on a person.,1,Butter is being wiped on a tray by a person.,4
A man is playing piano.,The piano is playing a man.,2,"Playing piano, a man is.",4
A woman is slicing an onion.,An onion is slicing a woman.,1,"Slicing an onion, a woman is.",4
A man plays a trumpet.,A trumpet plays a man.,2,"Playing a trumpet, a man is.",4
A woman is riding a horse.,A horse is riding a woman.,1,"Riding a horse, a woman is.",4
A band is playing on stage.,"On stage, a playing band is.",5,"On stage, a band is playing.",5
A woman is playing a guitar and singing.,Singing and playing a guitar is a woman.,4,"Playing a guitar and singing, a woman is.",4
The man is eating.,Eating is the man.,4,"Eating, the man is.",3
A little boy hits a golf ball.,A golf ball hits a little boy.,2,"Hitting a golf ball, a little boy is.",3
A guy is taking off his sunglasses.,Taking off his sunglasses is a guy.,2,"Taking off his sunglasses, a guy is.",5
Someone is reading an email.,Reading an email is someone.,1,"Reading an email, someone is.",5
A person is slicing onions.,Slicing onions is a person.,2,"Slicing onions, a person is.",5
A girl is coming up on a car.,Coming up on a car is a girl.,1,"Coming up on a car, a girl is.",4
A man is playing drums.,Drums are playing a man.,2,"Playing drums, a man is.",4
Someone is slicing a onion.,An onion is slicing someone.,1,"Slicing an onion, someone is.",4
A woman is dicing some peeled potatoes cut into thick strips.,Peeled potatoes cut into thick strips are being diced by a woman.,5,"Dicing some peeled potatoes cut into thick strips, a woman is.",5
A man pours rice into a pot.,A pot pours rice into a man.,0,Rice is being poured into a pot by a man.,5
A person is slicing some garlic.,Some garlic is slicing a person.,1,Some garlic is being sliced by a person.,5
Men are playing soccer.,Soccer is playing men.,1,Soccer is being played by men.,5
A person is scrubbing a zucchini.,A zucchini is scrubbing a person.,0,A zucchini is being scrubbed by a person.,5
A panda bear is chewing on a stick.,A stick is chewing on a panda bear.,0,"On a stick, a panda bear is chewing.",4
The people are lifting bags.,Bags are lifting the people.,2,Bags are being lifted by the people.,5
A man is talking on the phone.,The phone is talking on a man.,1,"On the phone, a man is talking.",4
A woman is braiding her hair.,Hair is braiding a woman.,1,Her hair is being braided by a woman.,5
The man is throwing knives at a tree.,A tree is throwing knives at a man.,0,Knives are being thrown at a tree by the man.,5
The woman is slicing tofu.,Tofu is slicing the woman.,1,"Slicing tofu, the woman is.",4
A woman is folding paper.,Paper is folding a woman.,1,"Folding paper, a woman is.",4
Someone is folding a piece of paper.,A piece of paper is folding someone.,1,"Folding a piece of paper, someone is.",4
A man is lifting weights.,Weights are lifting a man.,2,"Lifting weights, a man is.",4
A man is playing a cello.,A cello is playing a man.,2,"Playing a cello, a man is.",4
The man is talking.,Talking is the man.,4,"Talking, the man is.",4
A man tries to feed a mouse to a snake.,A snake tries to feed a mouse to a man.,2,"To feed a mouse to a snake, a man tries.",5
A man is playing a ukulele.,A ukulele is playing a man.,1,"Playing a ukulele, a man is.",4
A kitten is drinking milk from a bowl.,Milk from a bowl is being drunk by a kitten.,5,"Drinking milk from a bowl, a kitten is.",5
A man breaks cinder blocks on another man.,Cinder blocks break a man on another man.,4,"On another man, cinder blocks are being broken by a man.",3
A man is hitting a boy with flower vase.,A boy is hitting a man with a flower vase.,2,A boy is being hit with a flower vase by a man.,5
The man is mixing whipping cream.,Whipping cream is mixing the man.,2,Whipping cream is being mixed by the man.,5
A man is stirring juice.,Juice is being stirred by a man.,5,Juice is being stirred by a man.,5
Someone is slicing two uncooked racks of ribs apart.,Two uncooked racks of ribs are slicing someone apart.,0,Two uncooked racks of ribs are being sliced apart by someone.,5
A cat gets stuck on a moving ceiling fan.,A moving ceiling fan gets stuck on a cat.,2,"On a moving ceiling fan, a cat gets stuck.",4
A man is singing while playing the guitar.,The guitar is singing while a man plays it.,3,"While playing the guitar, a man is singing.",5
A boat sails along the water.,The water sails along a boat.,2,"Along the water, a boat sails.",4
An okapi is eating from a tree.,A tree is eating from an okapi.,0,"From a tree, an okapi is eating.",5
Several kids jump up and down on a trampoline.,A trampoline jumps up and down with several kids on it.,4,"On a trampoline, several kids jump up and down.",5
A woman is pouring egg into a frying pan.,A frying pan is pouring egg into a woman.,1,"Into a frying pan, a woman is pouring egg.",5
A woman is frying ground meat.,Ground meat is frying a woman.,1,"Ground meat, a woman is frying.",2
Three boys in karate costumes are fighting.,"In karate costumes, three boys are fighting.",4,"In karate costumes, three boys are fighting.",5
Swimmers are racing in a lake.,"In a lake, swimmers are racing.",4,"In a lake, swimmers are racing.",5
A person is boiling noodles.,"Boiling noodles, a person is.",4,"Noodles, a person is boiling.",2
A person is slicing some onions.,"Slicing some onions, a person is.",4,"Some onions, a person is slicing.",4
A man reels in a fish.,A fish reels in a man.,2,"Reeling in a fish, a man is.",4
A woman is cutting an onion.,An onion is cutting a woman.,0,"Cutting an onion, a woman is.",4
A lady mixed up a meat mixture in bowl.,A bowl mixed up a meat mixture for a lady.,2,"In a bowl, a lady mixed up a meat mixture.",5
A girl is applying makeup on her face.,Makeup is applying on the face of a girl.,3,"Applying makeup on her face, a girl is.",5
A woman puts make-up on.,Make-up puts a woman on.,1,"Putting make-up on, a woman is.",4
A cat plays in his water.,Water plays with a cat.,2,"In his water, a cat plays.",5
A person is adding food in a pan.,A pan is adding food to a person.,1,"In a pan, a person is adding food.",4
A man is smoking.,Smoke is smoking a man.,1,"Smoking, a man is.",2
A person is putting shredded cheese in a pot.,A pot is putting shredded cheese in a person.,0,"In a pot, a person is putting shredded cheese.",5
A man is erasing a chalk board.,A chalkboard is erasing a man.,1,"Erasing a chalk board, a man is.",4
The man is exercising.,Exercising is the man.,1,"Exercising, the man is.",5
A chimp is kicking a target.,A target is being kicked by a chimp.,2,"Kicking a target, a chimp is.",5
A man is doing exercise.,Doing exercise is a man.,1,"Doing exercise, a man is.",5
The girl is carrying a baby.,A baby is being carried by the girl.,2,"Carrying a baby, the girl is.",4
Several swimmers jump into the water.,"Into the water, several swimmers jump.",4,"Into the water, several swimmers jump.",5
A man spins on a surf board.,"On a surf board, a man spins.",4,"On a surf board, a man spins.",5
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,"A skateboard is ridden by a young man, jumping onto a sidewalk then off at another curb.",4,"Riding a skateboard and jumping onto a sidewalk then off at another curb, a young man is.",4
A person dices up an orange pepper.,An orange pepper is diced up by a person.,4,"Up an orange pepper, a person dices.",3
Two men are dancing together.,"Together, two men are dancing.",4,Dancing together are two men.,5
A man is reading an email.,An email is being read by a man.,4,"Reading an email, a man is.",4
The curious boys look in the shed.,The shed is looked in by the curious boys.,4,"In the shed, look the curious boys.",2
A moped in front of steps of ruins.,Steps of ruins in front of a moped.,4,"In front of steps of ruins, a moped.",5
A man sleeps with a baby in his lap.,A baby in his lap sleeps with a man.,4,"With a baby in his lap, sleeps the man.",4
A man with a bicycle at a coffee house.,"At a coffee house, a bicycle is with a man.",5,"At a coffee house, with a bicycle, the man.",4
A black and white cat is high up on tree branches.,Tree branches are high up on a black and white cat.,2,"On tree branches, a black and white cat is high up.",5
A young blonde girl wearing a helmet sits with a red bicycle behind her.,"Behind her, a red bicycle sits with a young blonde girl wearing a helmet.",5,"With a red bicycle behind her, sits a young blonde girl wearing a helmet.",5
Blue couch and twin bed in a living room.,"In a living room, a blue couch and twin bed are.",5,"In a living room, a blue couch and twin bed.",4
The flock of sheep are spread out in the field.,"In the field, the flock of sheep is spread out.",5,The field has the flock of sheep spread out.,5
Two dogs and one cat sitting on couch.,The couch is sitting on two dogs and one cat.,2,Sitting on couch are two dogs and one cat.,5
A bicycle is parked by a shop.,A shop is parked by a bicycle.,1,Parked by a shop is a bicycle.,4
A orange and white cat laying on a blanket in a black leather chair.,A black leather chair is laying on a blanket with an orange and white cat.,3,Laying on a blanket in a black leather chair is an orange and white cat.,5
Young couple sitting on a black couch.,A black couch is sitting on a young couple.,2,Sitting on a black couch is a young couple.,3
A group of black people in front of a building with a moped.,A moped is in front of a building with a group of black people.,5,"In front of a building with a moped, a group of black people.",5
Elderly woman sitting on red patterned couch with her arm around younger woman.,A younger woman is sitting on a red patterned couch with her arm around an elderly woman.,5,Sitting on red patterned couch with her arm around younger woman is an elderly woman.,4
A man riding on the back of an orange SUV.,An orange SUV is riding on the back of a man.,2,Riding on the back of an orange SUV is a man.,5
Red and white bus driving down road.,The road is driving down a red and white bus.,2,Driving down road is a red and white bus.,3
A cat laying on a red cushion looking at the camera.,The camera is looking at a cat laying on a red cushion.,5,Looking at the camera is a cat laying on a red cushion.,4
Two green and white trains sitting on the tracks.,The tracks are sitting on two green and white trains.,2,Sitting on the tracks are two green and white trains.,5
A grey cat lying on a wooden table.,A wooden table lying on a grey cat.,0,"On a wooden table, a grey cat is lying.",5
A man sitting in a back yard playing the guitar.,A guitar playing in a back yard with a man sitting.,1,"In a backyard, playing the guitar, a man is sitting.",5
A father napping in a chair with a baby on his lap.,A baby on his lap napping in a chair with a father.,1,"In a chair, a father is napping with a baby on his lap.",4
a close up head of an ostrich.,An ostrich head close up of a far away body.,4,"A head of an ostrich, in a close-up, is.",5
Green and white bird perched on tree branch.,A tree branch perched on a green and white bird.,2,A green and white bird is perched on a tree branch.,5
A man in a top hat rides a white horse.,A white horse rides a man in a top hat.,4,"Riding a white horse, a man in a top hat is.",5
Two Indian women with two Indian girls near the water.,The water is near two Indian women with two Indian girls.,5,"Near the water, two Indian women are with two Indian girls.",4
A table is set with wine and dishes for two people.,Two people are set with wine and dishes on a table.,4,Wine and dishes for two people are set on the table.,5
A moped in front of ruins.,Ruins in front of a moped.,5,"In front of ruins, a moped is.",5
A person driving a cart pulled by a bicycle.,A bicycle pulling a cart driven by a person.,5,A cart pulled by a bicycle is being driven by a person.,4
A dog sniffing the bottom of a door.,The bottom of a door sniffing a dog.,1,"At the bottom of a door, a dog is sniffing.",5
a small bird sitting on a branch in winter.,A branch in winter with a small bird sitting on it.,5,"On a branch in winter, a small bird is sitting.",5
A yellow bird is eating fruit on a wire grate.,A wire grate with fruit being eaten by a yellow bird.,4,"On a wire grate, eating fruit, a yellow bird is.",4
A brown duck and white duck stand on the grass.,The grass with a brown duck and white duck standing on it.,4,"On the grass, a brown duck and white duck are standing.",5
A black and white cat and dog on a striped couch.,A striped couch with a black and white cat and dog on it.,5,"On a striped couch, a black and white cat and dog are.",5
A man wearing black formal wear & a black top hat is riding a white show horse.,A white show horse being ridden by a man wearing black formal wear & a black top hat.,5,"Riding a white show horse, a man wearing black formal wear and a black top hat is.",5
A small brown birds is eating from a bird feeder hanging from a tree.,A bird feeder hanging from a tree being eaten from by a small brown bird.,4,"From a bird feeder hanging from a tree, a small brown bird is eating.",5
This a picture of the countryside with a large city in the background.,A large city in the foreground with the countryside in the background in this picture.,4,"With a large city in the background, this is a picture of the countryside.",5
Blue and red plane in mid-air flight.,Mid-air flight in blue and red plane.,3,"In mid-air flight, the blue and red plane is.",5
Three men posing in a tent.,Three men posing in a tent.,4,"In a tent, posing, three men are.",4
A close-up of a gray cat with green eyes.,A close-up of green eyes gray cat with.,2,Green-eyed gray cat is shown in a close-up.,5
A train is at a train station.,A train station is at a train.,1,"At a train station, a train is.",5
The train heads down the tracks and along the hedge.,The hedge goes down the tracks and along the train.,1,"Down the tracks and along the hedge, the train heads.",5
a little girl is laughing at the camera.,"At the camera, a little girl is laughing.",3,"At the camera, laughing, a little girl is.",4
Three young women standing in a room together.,"Standing in a room, three young women together.",3,"In a room together, three young women are standing.",4
A white bird with long orange legs standing by a lake.,"Standing by a lake, a white bird with long orange legs.",4,"By a lake, a white bird with long orange legs is standing.",5
A red train driving through a snow covered city.,"Driving through a snow-covered city, a red train.",3,"Through a snow-covered city, driving, a red train is.",4
Three bicyclists crossing a bridge in a city.,"Crossing a bridge in a city, three bicyclists.",4,"In a city, crossing a bridge, three bicyclists are.",5
A red and white bus drives down an England street.,An England street drives down a red and white bus.,0,Down an England street drives a red and white bus.,5
The birds are swimming in the water.,The water is swimming in the birds.,0,"In the water, swimming are the birds.",3
A black dog looking at the camera.,The camera looking at a black dog.,1,"Looking at the camera, a black dog is.",5
A group of horses grazing in a field.,A field grazing in a group of horses.,0,"In a field grazing, a group of horses is.",3
Several people on motorcycles in a market square.,A market square on motorcycles in several people.,0,"In a market square, on motorcycles, several people are.",3
Three sheep on a dirt road viewed from a passenger vehicle.,A passenger vehicle viewed from a dirt road on three sheep.,0,"Viewed from a passenger vehicle, on a dirt road, three sheep are.",5
Group of people posing with two men dressed as Elvis.,Two men dressed as Elvis posing with a group of people.,2,"Posing with two men dressed as Elvis, a group of people is.",4
Parrot pushing a small shopping cart.,A small shopping cart pushing a parrot.,2,"Pushing a small shopping cart, a parrot is.",4
Man in yellow canoe paddling through water.,Water paddling through a man in yellow canoe.,1,"Through water, a man in a yellow canoe is paddling.",5
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,"On the floor, beer bottles (-LRB- Harp Lager )-RRB- lined up.",2,Lined up on the floor are beer bottles (Harp Lager).,5
Two women sitting outside laughing.,"Outside laughing, two women are sitting.",5,"Outside laughing, two women are sitting.",5
A steam engine and train moving toward the camera.,"Toward the camera, a steam engine and train are moving.",5,"Toward the camera, a steam engine and train are moving.",5
A brown and white cow in a field looking into the camera.,"Into the camera, a field cow is looking, brown and white.",4,"Into the camera, a brown and white cow in a field is looking.",5
Black and white cow standing near pile of snow.,"Near a pile of snow, a black and white cow is standing.",5,"Near pile of snow, standing is a black and white cow.",4
Home office space with bright green walls and artwork.,"With artwork and bright green walls, home office space is.",4,"With bright green walls and artwork, home office space is.",5
A black and white photo of a man driving a car and someone with a motorcycle.,A car driving a man and someone with a motorcycle in a black and white photo.,4,"Of a man driving a car and someone with a motorcycle, a black and white photo is.",3
Three people are by the water with yellow canoes.,"With yellow canoes, three water people are by.",5,"By the water with yellow canoes, three people are.",5
A girl in a riding hat on a horse.,"On a horse, a girl in a riding hat is.",5,"On a horse, a girl in a riding hat is.",5
A man dressed in a pale scarf with a stick.,"With a stick, a man dressed in a pale scarf is.",5,"With a stick, dressed in a pale scarf is a man.",5
A very retro living room with a television in it.,"In it, a television is in a very retro living room.",5,A television is present in a very retro living room.,5
A car is pulling off the side of the road onto the street.,The street is pulling off the side of the road onto a car.,1,"Onto the street, the car is pulling off the side of the road.",5
The man is sitting cross legged wearing a cloak and holding a stick.,The stick is sitting cross-legged wearing a cloak and holding a man.,1,"Wearing a cloak and holding a stick, a man is sitting cross-legged.",4
Two black and white dogs at the bottom of stairs.,"At the bottom of stairs, two black and white dogs are.",5,"At the bottom of stairs, two black and white dogs.",4
An old fashioned wooden sailing ship in the ocean.,"In the ocean, a wooden sailing ship is old-fashioned.",5,"In the ocean, an old-fashioned wooden sailing ship.",5
"A man sitting cross legged on the grass, with a tree in the background.","In the background, a tree is sitting cross-legged on the grass with a man.",2,"With a tree in the background, a man is sitting cross-legged on the grass.",5
Two cats sitting on a couch looking out the window.,"Out the window, two couches are sitting on cats.",1,"Looking out the window, two cats are sitting on a couch.",5
Three goats are being rounded up by a dog.,A dog is being rounded up by three goats.,2,A dog is rounding up three goats.,5
A tan puppy on a carpeted floor.,"On a carpeted floor, a tan puppy is.",5,"On a carpeted floor, a tan puppy.",4
A black dog standing in a grassy area.,"In a grassy area, a black dog is standing.",5,"In a grassy area, a black dog is standing.",5
Train in a station.,Station in a train.,2,"In a station, train.",3
A blue bird standing on a lawn.,A lawn standing on a blue bird.,0,"On a lawn, standing, a blue bird.",4
An empty office cubicle.,A cubicle office empty.,5,"In an office cubicle, empty.",4
A man and woman sit at a table in a restaurant.,A table in a restaurant sits a man and a woman.,4,"In a restaurant, sit at a table, a man and woman.",4
A young man wearing a striped shirt is holding two bicycles.,Two bicycles are holding a young man wearing a striped shirt.,2,"Holding two bicycles, a young man wearing a striped shirt is.",5
"A television, upholstered chair, and coffee stable in a bright room.","A bright room, upholstered chair, and coffee table on television.",3,"In a bright room, upholstered chair, coffee table, and television.",5
The small dog is wearing a sweater and looking up at the camera.,The camera is wearing a sweater and looking up at the small dog.,1,"Looking up at the camera, the small dog is wearing a sweater.",5
Two men standing in grass staring at a car.,"Grass staring at a car, two men are standing.",4,"Staring at a car, two men standing in grass.",4
A woman stands in front of a building in the snow.,"In the snow, a building stands in front of a woman.",4,"In the snow, in front of a building, stands a woman.",5
A green car parked at a saloon.,A saloon parked at a green car.,0,"Parked at a saloon, a green car is.",4
Group of people sitting around a restaurant dining table.,A restaurant dining table sitting around a group of people.,4,"Around a restaurant dining table, group of people sitting are.",3
Two ducks are standing by the water.,The water is standing by two ducks.,2,"By the water, two ducks are standing.",5
A black and white cow in a pen with hay.,A pen with hay in a black and white cow.,4,"In a pen with hay, a black and white cow is.",5
A man and woman are posing for the camera.,The camera is posing for a man and woman.,2,"For the camera, a man and woman are posing.",4
A green and white cargo plane taking of from an airport.,An airport taking off from a green and white cargo plane.,1,"Taking off from an airport, a green and white cargo plane is.",4
A yellow school bus parked in a field.,A field parked in a yellow school bus.,2,"In a field, a yellow school bus is parked.",4
An elderly man works on his laptop at home.,"At home, his laptop works on an elderly man.",1,"At home, an elderly man works on his laptop.",5
The cat is sitting on a bag of cat food.,A bag of cat food is sitting on the cat.,2,"On a bag of cat food, the cat is sitting.",5
A large pile of wooden items piled high.,Wooden items piled high on a large pile.,5,"Piled high, a large pile of wooden items.",5
A woman riding a brown horse.,A brown horse riding a woman.,2,"On a brown horse, a woman riding.",4
Black and white photo of a girl on a sofa.,A sofa on a black and white photo of a girl.,4,"On a sofa, a black and white photo of a girl.",4
A black dog stands next to materials at a construction site.,Materials at a construction site stand next to a black dog.,5,"At a construction site, a black dog stands next to materials.",5
Two women sitting in chairs in a shop.,"In a shop, chairs are sitting with two women.",4,"In chairs in a shop, two women sitting.",4
A women painting a chair with a dining room in the background.,"With a dining room in the background, a chair being painted by a woman.",4,"With a dining room in the background, a woman painting a chair.",4
A cat sleeping on the coach with a pillow behind it.,"On the couch, a cat sleeping with a pillow behind it.",4,"On the coach, a pillow is behind a sleeping cat.",4
Two motorbikes racing on a dirt course.,"On a dirt course, two motorbikes racing.",5,"On a dirt course, two motorbikes racing.",4
A young woman is riding a Bay hose in a dirt riding-ring.,"In a dirt riding-ring, a Bay horse is being ridden by a young woman.",4,"In a dirt riding-ring, a young woman is riding a Bay horse.",5
A gray cat laying on a brown table.,"On a brown table, a gray cat is laying.",4,"On a brown table, a gray cat laying.",4
Motorcycle parked next to a car outside.,A car parked next to a motorcycle outside.,4,"Next to a car outside, parked is a motorcycle.",5
A pile of used wooden building materials with a chair on top.,A chair on top of a pile of used wooden building materials.,4,"On top, a chair sits, on a pile of used wooden building materials.",5
