sentence1,relation,relationscore,structure,structurescore
A man is jumping into an empty pool,A man is jumping into a pool that is currently empty,3,"Into an empty pool, a man is jumping.",5
The man's jumper is in the empty pool,"In the empty pool, the man's jumper is.",4,"In the empty pool, the man's jumper is.",4
Four kids are doing backbends in the park,"In the park, four kids are doing backbends.",5,Backbends are being done by four kids in the park.,3
Four children are doing backbends in the gym,"In the gym, four children are doing backbends.",4,"In the gym, four children are doing backbends.",5
Four girls are doing backbends and playing in the garden,"In the garden, four girls are doing backbends and playing.",4,"Playing in the garden, four girls are doing backbends and having fun.",2
A man who is playing is running with the ball in his hands,"Running with the ball in his hands, a man who is playing.",4,"Running with the ball in his hands, a man is playing.",3
Two groups of people are playing football,"Playing football, two groups of people are.",5,Football is being played by two groups of people.,4
Two teams are competing in a baseball game,"In a baseball game, two teams are competing.",5,"In a baseball game, two teams are competing fiercely.",4
A player is running with the ball,"Running with the ball, a player is.",5,The ball is being run with by a player.,3
Five wooden stands are in front of each child's hut,"In front of each child's hut, five wooden stands are.",5,Each child's hut has five wooden stands in front of it.,4
Five kids are standing close together and one kid has a gun,"Standing close together and one kid has a gun, five kids are.",3,One kid has a gun and five kids are standing close together.,3
Five kids are standing close together and none of the kids has a gun,None of the kids has a gun and five kids are standing close together.,4,"Standing close together, five kids are, and none of the kids has a gun.",5
Five children are standing in a wooden hut,Five wooden huts are standing in a children's playground.,2,"In a wooden hut, five children are standing.",5
An old man is sitting in a field,A field is sitting in an old man.,0,Sitting in a field is an old man.,5
A man is sitting in a field,A field is sitting in a man.,0,"In a field, a man is sitting.",4
A person is wearing a hat and is sitting on the grass,A hat is wearing a person and sitting on the grass.,0,"Wearing a hat and sitting on the grass, a person is.",5
A person is sitting and wearing a grass hat,A grass hat is wearing a person and sitting.,0,"Wearing a grass hat, a person is sitting.",4
The current is being ridden by a group of friends in a raft,A raft is being ridden by a group of enemies in the current.,0,A group of friends are riding the current in a raft.,5
A group of friends are riding the current in a raft,"In a raft, a group of enemies are riding the current.",0,"Riding the current in a raft, a group of friends are.",4
A deer is jumping over a fence,A fence is jumping over a deer.,0,"Over a fence, a deer is jumping.",5
People are walking inside a building that has many murals on it,Many murals are on the building where people are walking inside.,2,"Inside a building with many murals on it, people are walking.",5
Several people are in front of a colorful building,A colorful building is in front of several people,3,"In front of a colorful building, several people are.",5
People are walking outside a building that has many murals on it,A building that has many murals on it is being walked outside by people,4,Many murals adorn the building outside which people are walking.,3
People are walking outside the building that has several murals on it,The building that has several murals on it is being walked outside by people,3,"Outside the building that has several murals on it, people are walking.",5
A family is watching a little boy who is hitting a baseball,A little boy who is hitting a baseball is being watched by a family,4,A little boy hitting a baseball is being watched by a family.,5
A child is hitting a baseball,A baseball is being hit by a child,5,"Hitting a baseball, a child is.",5
A child is missing a baseball,A baseball is being missed by a child,0,"Missing a baseball, a child is.",4
A purple crowd of people is eating on various red lit restaurant tables,Various red lit restaurant tables are being eaten on by a purple crowd of people,2,"Eating on various red lit restaurant tables, a purple crowd of people is.",5
A large group of Asian people is eating at a restaurant,"At a restaurant, Asian people are eating in a large group",4,Eating at a restaurant are a large group of Asian people.,4
Various people are eating at red tables in a crowded restaurant with purple lights,"In a crowded restaurant with purple lights, various people are eating at red tables",2,"In a crowded restaurant with purple lights, various people are eating at red tables.",5
A motorcycle rider is standing up on the seat of a white motorcycle,"On the seat of a white motorcycle, a motorcycle rider is standing up",4,Standing up on the seat of a white motorcycle is a motorcycle rider.,3
Nobody is on a motorcycle and is standing on the seat,A motorcycle is on nobody and is standing on the seat,2,"Standing on the seat of a motorcycle, nobody is.",5
A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding dangerously along a roadway a motorbike,2,"Along a roadway, a motorcyclist is dangerously riding a motorbike.",3
There is no motorcyclist riding a motorbike along a roadway,There is no motorbike riding a motorcyclist along a roadway,0,"Along a roadway, there is no motorcyclist riding a motorbike.",3
A man with a helmet painted red is riding a blue motorcycle down the road,A man with a red painted helmet is riding a blue motorcycle down the road,4,"Down the road, a man with a red painted helmet is riding a blue motorcycle.",5
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist without a helmet is waiting near the road on a blue motorcycle,4,"Near the road, a motorcyclist without a helmet is waiting on a blue motorcycle.",5
Two dogs are playing by a tree,"By a tree, two dogs are playing",5,"By a tree, two dogs are playing.",3
A girl in white is dancing,"In white, a girl is dancing",5,Dancing is a girl in white.,4
A girl is wearing white clothes and is dancing,"Wearing white clothes, a girl is dancing",4,"Wearing white clothes, a girl is dancing.",5
The blond girl is dancing in front of the sound equipment,"In front of the sound equipment, the blond girl is dancing",4,"In front of the sound equipment, the blond girl is dancing.",5
Three Asian kids are dancing and a man is looking,"Dancing, three Asian kids are, and a man is looking",3,"Looking, a man, while three Asian kids are dancing.",2
The children of a family are playing and waiting,The children of a family are waiting and playing,4,A family's children are playing and waiting.,5
The children of a family are patiently playing and waiting,The children of a family are waiting and patiently playing,4,The children of a family are playing and waiting patiently.,4
There are no children playing and waiting,There are no children waiting and playing,3,No children are playing and waiting.,4
A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress on her head,3,"On her head, a woman is wearing an Egyptian hat.",5
A woman is wearing an Egyptian headdress,A woman is wearing an Egyptian hat,3,A woman is wearing an Egyptian headpiece.,4
The black woman is wearing glasses over the headdress,The black woman is wearing glasses over the hat,2,"Over the headdress, the black woman is wearing glasses.",4
A hiker is on top of the mountain and is dancing,A hiker is dancing on top of the mountain,4,A hiker is dancing on top of the mountain.,5
There is no man on a rock high above some trees standing in a strange position,There is no man standing in a strange position on a rock high above some trees,2,"Standing in a strange position, no man is on a rock high above some trees.",2
A man is on a rock high above some trees and is standing in a strange position,A man is standing in a strange position on a rock high above some trees,3,"On a rock high above some trees, a man is standing in a strange position.",5
There is no hiker dancing on top of the mountain,There is no hiker on top of the mountain dancing,3,There is no hiker on top of the mountain dancing.,3
The brown horse is very near a red barrel at the rodeo,A red barrel is very near a brown horse at the rodeo,3,"At the rodeo, the brown horse is very near a red barrel.",5
The brown horse is near a red barrel at the rodeo,A red barrel is near a brown horse at the rodeo,3,"Near a red barrel at the rodeo, the brown horse is.",4
A cowgirl is riding a brown horse and is cornering a barrel,A barrel is cornering and a cowgirl is riding a brown horse,1,"Cornering a barrel, a cowgirl is riding a brown horse.",5
A cowgirl is riding a horse and corners a barrel,A barrel is cornered and a cowgirl is riding a horse,2,"Riding a horse, a cowgirl corners a barrel.",4
A boy is standing in the cold water,Cold water is where a boy is standing,3,"In the cold water, the boy is standing.",4
The boy is sitting near the blue ocean,The blue ocean is near where the boy is sitting,3,"Near the blue ocean, the boy is sitting.",5
A boy is standing in the water,Water is where a boy is standing,3,"In the water, the boy is standing.",4
The boy is wading through the blue ocean,The blue ocean is being waded through by the boy,2,"Wading through the blue ocean, the boy is.",5
A man is playing a guitar on stage,"On stage, a guitar is being played by a man",4,"On stage, a man is playing a guitar.",4
There is no man playing a guitar on stage,"On stage, there is no guitar being played by a man",1,There is a man not playing a guitar on stage.,0
Several children are sitting down and have their knees raised,Several raised knees are sitting down and have their children.,1,Sitting down with their knees raised are several children.,4
Two young girls are sitting on the ground,The ground is sitting on two young girls.,1,"On the ground, two young girls are sitting.",4
Two girls are lying on the ground,The ground is lying on two girls.,1,Lying on the ground are two girls.,4
A nude lady is walking in front of a crowd in body paint,A body-painted crowd is walking in front of a nude lady.,1,A nude lady with body paint is leading a crowd.,3
"A young, topless woman is covered in paint",A painted young woman is covered in toplessness.,1,"Covered in paint, a young woman, topless, is.",4
A nude crowd in body paint is walking in front of a lady ,A lady is walking in front of a nude crowd in body paint.,1,"In front of a lady, a nude crowd in body paint is walking.",4
A group of people is near the ocean,Near the group of people is the ocean.,2,"Near the ocean, a group of people is.",5
A crowd of people is near the water,Near the crowd of water is people.,2,"Near the water, a crowd of people is.",5
A group of children in uniforms is standing at a gate and one is kissing the mother,A mother is kissing one of the children standing at a gate in a group of uniforms.,1,"Standing at a gate, a group of children in uniforms is, and one is kissing the mother.",5
A group of mothers in uniforms is standing near the children and one is kissing the gate,A gate is kissing one of the mothers standing near the children in a group of uniforms.,1,"Near the children, a group of mothers in uniforms is standing, and one is kissing the gate.",5
A man is in a parking lot and is playing tennis against a large wall,A large wall is in a parking lot and a man is playing tennis against it.,5,"Playing tennis against a large wall, a man is in a parking lot.",4
A man is in a parking lot and is playing tennis against a friend,A friend is in a parking lot and a man is playing tennis against him.,5,"In a parking lot, a man is playing tennis against a friend.",4
A group of people is on a beach,A beach is on a group of people.,1,"On a beach, a group of people is.",4
"A man, a woman and two girls are walking on the beach","Walking on the beach are a man, a woman, and two girls.",5,"Walking on the beach are a man, a woman, and two girls.",5
A schoolgirl with a black bag is on a crowded train,"On a crowded train, a schoolgirl with a black bag is",3,"On a crowded train, a schoolgirl with a black bag is.",3
There is no girl with a black bag on a crowded train,"On a crowded train, there is no girl with a black bag",3,There is a girl with a black bag on a crowded train.,3
A girl with a black bag is on a crowded train,"On a crowded train, a girl with a black bag is",4,"On a crowded train, a girl with a black bag is.",5
An Asian woman in a crowd is not carrying a black bag,"In a crowd, an Asian woman is not carrying a black bag",3,"Not carrying a black bag, an Asian woman is in a crowd.",3
A dog is chasing another and is holding a stick in its mouth,Another dog is being chased and is holding a stick in its mouth,1,"Holding a stick in its mouth, a dog is chasing another.",5
Two dogs are running and carrying a toy in their mouths,"Running, two dogs are carrying a toy in their mouths",4,"Carrying a toy in their mouths, two dogs are running.",5
A dog is chasing another and is holding a piece of wood in its mouth,A piece of wood is chasing a dog and is being held in its mouth by another,1,"Holding a piece of wood in its mouth, a dog is chasing another.",5
Two dogs are running and carrying an object in their mouths,An object is running and being carried in their mouths by two dogs,3,"Carrying an object in their mouths, two dogs are running.",4
A dirty soccer ball is rolling into a goal net,A goal net is rolling into a dirty soccer ball,0,"Rolling into a goal net, a dirty soccer ball is.",4
A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,2,"Not rolling into a goal net, a soccer ball is.",1
A person who plays soccer is kicking a ball into the goal,A ball is being kicked into the goal by a person who doesn't play soccer,2,"Kicking a ball into the goal, a person who plays soccer is.",5
A soccer ball is rolling into a goal net,A goal net is rolling into a soccer ball,1,"Into a goal net, a soccer ball is rolling.",5
A man is sitting on a chair and rubbing his eyes,A chair is sitting on a man and rubbing his eyes,0,"Rubbing his eyes, a man is sitting on a chair.",4
A man with tattoos is lounging on a couch and holding a pencil,A pencil is lounging on a couch and being held by a man with tattoos,1,"Lounging on a couch and holding a pencil, a man with tattoos is.",5
A man with tattoos is holding a couch with a pencil,A couch is being held by a man with tattoos and a pencil,0,"Holding a pencil, a man with tattoos is on a couch.",4
A man is resting on a chair and rubbing his eyes,A man is rubbing his eyes and resting on a chair.,5,"Resting on a chair, a man is rubbing his eyes.",4
A man with paint covered clothes is sitting outside in a busy area writing something,A busy area with paint-covered clothes is writing something outside a man.,1,Writing something outside in a busy area is a man with paint covered clothes.,5
There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man wearing clothes covered with paint is sitting outside in a busy area and not writing anything.,1,No man is sitting outside in a busy area writing something while wearing clothes covered with paint.,4
A sitting man is busy writing something in an area covered by paint,A sitting man is covering an area with paint while writing something.,1,Busy writing something in an area covered by paint is a sitting man.,4
A man is sitting near a bike and is writing a note,A bike is sitting near a man who is writing a note.,3,"Writing a note, a man is sitting near a bike.",5
A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A busy area with paint-covered clothes is sitting outside a man who is not writing anything.,1,"Sitting outside in a busy area, a man is writing something while wearing clothes covered with paint.",4
There is no man writing a note near a bike,A man is writing a note far away from a bike.,0,There is no man writing a note near a bike.,3
A group of scouts are camping in the grass,A group of grasses are camping in the scouts.,1,Camping in the grass are a group of scouts.,5
Some people are walking,"Walking, some people are",4,Walking are some people.,5
A group of scouts are hiking through the grass,Hiking through the grass are a group of scouts,4,"Through the grass, a group of scouts are hiking.",5
Two men are taking a break from a trip on a snowy road,Taking a break from a trip on a snowy road are two men,4,"On a snowy road, two men are taking a break from a trip.",4
Two men with bikes are on the side of a snowy road,On the side of a snowy road are two men with bikes,4,"On the side of a snowy road, two men with bikes are.",5
Two men are holding fishing poles and fishing tackle,Holding fishing poles and fishing tackle are two men,5,Fishing poles and fishing tackle are being held by two men.,3
Two men are holding fishing poles,Holding fishing poles are two men,5,Two men are holding fishing poles.,2
The helmeted girl is riding a bike,Riding a bike is the helmeted girl,5,"Riding a bike, the helmeted girl is.",5
A woman is performing a trick on a ramp with a bicycle,Performing a trick on a ramp with a bicycle is a woman,4,"Performing a trick on a ramp with a bicycle, a woman is.",5
The helmeted girl is perching on a bike,Perching on a bike is the helmeted girl,4,The helmeted girl is perched on a bike.,3
The girl with a helmet is perching on a bike,A bike is perching on the girl with a helmet,2,Perched on a bike is the girl with a helmet.,5
A blonds girl is surfing,Surfing is a blonds girl,0,Surfing is a girl who is blond.,4
A lady is surfing and riding a wave,Riding a wave and surfing is a lady,1,Riding a wave and surfing is a lady.,4
A woman is surfing,Surfing is a woman,0,A woman is engaged in surfing.,4
A blond girl waves while she is riding,"Riding, a blond girl waves while she is",0,"While riding, a blond girl waves.",5
Two children and an adult are standing next to a tree limb,"Standing next to a tree limb, two children and an adult are",2,Standing next to a tree limb are two children and an adult.,5
A man dressed in black is riding a bike,Riding a bike is a man dressed in black,0,Riding a bike is a man dressed in black.,5
A man is performing stunts on a green bicycle,Performing stunts on a green bicycle is a man,2,Performing stunts on a green bicycle is a man.,5
There is no man dressed in black and riding a green bike,"Riding a green bike and dressed in black, there is no man",1,There is a man dressed in black and riding a green bike.,4
A boy is holding a squirt gun,Holding a squirt gun is a boy,2,A squirt gun is being held by a boy.,3
A laughing child is holding a water gun and getting sprayed with water,A water gun is holding a laughing child and getting sprayed with water,1,Holding a water gun and getting sprayed with water is a laughing child.,3
There is no child holding a water gun or getting sprayed with water,There is no water gun holding a child or getting sprayed with water,1,No child is holding a water gun or getting sprayed with water.,1
A child with a gun that sprays water is laughing and getting hit by other boys,A child with other boys is laughing and getting hit by a gun that sprays water,1,Laughing and getting hit by other boys is a child with a gun that sprays water.,3
Two daschunds are playing with a red ball,A red ball is playing with two daschunds,0,Playing with a red ball are two daschunds.,5
Two cats are playing with a red ball,A red ball is playing with two cats,0,Two cats are playing with a red ball.,5
Two brown dogs are fighting over a red ball and are playing in the grass,A red ball is playing in the grass and two brown dogs are fighting over it,1,Two brown dogs are playing in the grass and fighting over a red ball.,5
There is no dog playing with a red ball,There is no red ball playing with a dog,0,No dog is playing with a red ball.,3
The black and white dog is running and a person stands behind it,A person stands behind the black and white dog running,2,A person is standing behind a black and white dog that is running.,5
A little dog is sprinting and the person who owns it is trying to catch it,The person who owns it is trying to catch a little dog sprinting,2,The owner of a little dog is trying to catch it as it sprints.,5
The black and white dog isn't running and there is no person standing behind,There is no person standing behind and the black and white dog isn't running,1,There is no person standing behind the black and white dog that isn't running.,1
A black person is running along a white stand and a dog barks behind him,"Behind him, a dog barks as a black person runs along a white stand",4,"Behind the black person, a barking dog runs along a white stand.",2
A man wearing a dyed black shirt is sitting at the table and laughing,"Sitting at the table and laughing, a man wearing a dyed black shirt",4,"At the table, a man wearing a black dyed shirt is laughing.",4
A laughing man is dyeing a shirt black on the table which you cannot sit at ,"On the table which you cannot sit at, a man is dyeing a shirt black while laughing",4,"Dyeing a shirt black on the table which you cannot sit at, a man is laughing.",2
A black shirt is being worn by a man who is sitting at the table and laughing,"Worn by a man who is sitting at the table and laughing, a black shirt",4,A man who is sitting at the table and laughing is wearing a black shirt.,4
A man is sitting and tables a comfortable discussion,"Tables a comfortable discussion, a man is sitting",3,"Tables a comfortable discussion, a man is sitting.",4
A man is sitting comfortably at a table,"Comfortably at a table, a man is sitting",3,Comfortably sitting at a table is a man.,4
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"Riding a bicycle down a bridge built for pedestrians, a woman who is wearing a pink boa",4,Riding a bicycle down a bridge built for pedestrians is a woman wearing a pink boa.,3
A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,"Stopping her bicycle on a bridge built for pedestrians, a woman who is taking off a pink boa",4,"Stopping her bicycle on a bridge built for pedestrians, a woman taking off a pink boa.",3
A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"Riding a bike down a bridge built for pedestrians, a woman who is wearing a pink scarf",4,A woman wearing a pink scarf is riding a bike down a bridge built for pedestrians.,4
"A person, who is riding a bike, is wearing gear which is black","Wearing gear which is black, a person who is riding a bike",4,"Wearing black gear, a person riding a bike.",4
A biker is naked,Naked is a biker,3,Naked is the biker.,4
A black helmet is being worn by a man who is pushing a bicycle,A man who is pushing a bicycle is being worn by a black helmet,0,A man pushing a bicycle is wearing a black helmet.,4
A biker is wearing gear which is black,Gear which is black is wearing a biker,0,Wearing black gear is the biker.,4
One man is wearing a black helmet and pushing a bicycle,A black helmet is wearing one man and pushing a bicycle,0,"Pushing a bicycle, one man is wearing a black helmet.",5
The man in a grey t-shirt is sitting on a rock in front of the waterfall,A rock in front of the waterfall is sitting on the man in a grey t-shirt,0,Sitting on a rock in front of the waterfall is the man in a grey t-shirt.,3
A woman is standing and isn't looking at the waterfall,Standing and isn't looking at the waterfall is a woman,0,"Not looking at the waterfall, a woman is standing.",4
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A rock in front of a waterfall is sitting on the man in a t-shirt dyed grey,0,Sitting on a rock in front of a waterfall is the man in a t-shirt dyed grey.,3
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A rock in front of the waterfall is no man in a grey t-shirt sitting on,0,No man wearing a grey t-shirt is sitting on a rock in front of the waterfall.,2
A woman is sitting and looking at the waterfall,Sitting and looking at the waterfall is a woman,0,"Looking at the waterfall, a woman is sitting.",4
"A dog, which is brown, and a black one are running in the grass","Running in the grass are a dog, which is brown, and a black one",0,Running in the grass are a brown dog and a black one.,3
A black man is running in brown grass and racing a dog,A black man is racing a dog in brown grass,4,"In brown grass, a dog is being raced by a black man.",5
A dark black dog and a light brown dog are playing in the yard in the back,A light brown dog and a dark black dog are playing in the backyard,4,"In the back yard, a dark black dog and a light brown dog are playing.",3
A dark black dog and a light brown dog are fighting in the backyard,A light brown dog and a dark black dog are fighting in the backyard,3,"In the backyard, a dark black dog and a light brown dog are fiercely fighting.",2
A dark black dog and a light brown dog are playing in the backyard,A light brown dog and a dark black dog are playing in the backyard,4,"Playing in the backyard, a dark black dog and a light brown dog are.",3
A dog that has a brown and white coat is sitting in shallow water,A dog that has a white and brown coat is sitting in shallow water,4,"Sitting in shallow water, a dog that has a brown and white coat is.",5
A white and brown dog is walking through the water with difficulty,A brown and white dog is walking through the water with difficulty,2,"Walking through the water with difficulty, a white and brown dog is.",5
A group of boys are quiet in front of a large door made of wood,A group of boys are quiet in front of a large wooden door,4,"Quiet in front of a large wooden door, a group of boys are.",5
A bunch of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large wooden door,4,"In front of a large wooden door, a bunch of boys are playing with a ball.",5
The children are playing in front of a large door,"In front of a large door, the children are playing",4,"In front of a large door, the children are playing.",5
"A black, red, white and pink dress is being worn by a woman","A woman is wearing a dress that is black, red, white, and pink",4,"A woman is wearing a black, red, white, and pink dress.",5
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","Taking off a very large cloak, a woman reveals an extravagant dress",4,"Revealing an extravagant dress, a woman is taking off a very large cloak.",3
A teenage girl is storing away beads that are red,"Storing away red beads, a teenage girl is",4,Storing away red beads is a teenage girl.,5
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","Wearing a red necklace, a sweatshirt, and earrings, a young lady with light brown hair is smiling",4,"Wearing a red necklace, a sweatshirt, and earrings, a young lady with light brown hair is smiling.",5
"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling","Wearing a red necklace, a sweatshirt, and earrings, a lady of young age with light brown hair is smiling",4,"Wearing a red necklace, a sweatshirt, and earrings, a lady of young age with light brown hair is smiling.",5
The girl likes red and isn't wearing beads for teenagers,The girl isn't wearing beads for teenagers and likes red,4,"Not wearing beads for teenagers, the girl likes red.",5
A fearful little boy is on a climbing wall,On a climbing wall is a fearful little boy,4,"On a climbing wall, a fearful little boy is.",5
A boy is climbing up a wall artificially built for climbing and is attached to a rope,Climbing up a wall artificially built for climbing and attached to a rope is a boy,4,Climbing up an artificially built wall for climbing and attached to a rope is a boy.,5
A dad is launching his daughter into a swimming pool,Launching his daughter into a swimming pool is a dad,4,A dad is throwing his daughter into a swimming pool.,5
A father is in the swimming pool during his daughters launch,"During his daughter's launch, a father is in the swimming pool.",5,"During his daughter's launch, a father is in the swimming pool.",5
The man is tossing a kid into the swimming pool that is near the ocean,"Near the ocean, the man is tossing a kid into the swimming pool.",5,"Near the ocean, the man is tossing a kid into the swimming pool.",5
One man is tossing a kid into the swimming pool that is near the ocean,"Near the ocean, one man is tossing a kid into the swimming pool.",5,"Near the ocean, one man is tossing a kid into the swimming pool.",5
"A kid swimming in the ocean is tossing a coin into the pool, near the man","Near the man, a kid swimming in the ocean is tossing a coin into the pool.",4,"Near the man, a kid swimming in the ocean is tossing a coin into the pool.",4
A father is launching the daughter in a swimming pool,"In a swimming pool, the father is launching his daughter.",5,"In a swimming pool, the father is launching the daughter.",5
A social climber is tying a man to a cliff with a rope,A man is being tied to a cliff with a rope by a social climber.,4,A man is being tied to a cliff with a rope by a social climber.,3
"A person is standing in front of a rock with a rope, which is pink",The pink rope in front of a rock is being held by a person.,4,"With a pink rope, a person is standing in front of a rock.",5
"A rock is being climbed by a person with a rope, which is pink","With a pink rope, a person is climbing a rock.",3,"With a pink rope, a person is climbing a rock.",5
One man is climbing a cliff with a rope,"With a rope, one man is climbing a cliff.",5,"Climbing a cliff, one man is using a rope.",5
"A person is climbing a rock with a rope, which is pink","With a pink rope, a person is climbing a rock.",5,"With a pink rope, a person is climbing a rock.",5
A young boy isn't climbing a wall made of rock,A wall made of rock isn't being climbed by a young boy,4,"Climbing a wall made of rock, a young boy isn't.",2
A young child is climbing a rock climbing wall which is indoors,"Indoors, a rock climbing wall is being climbed by a young child",4,"Indoors, a young child is climbing a rock climbing wall.",4
A child is indoors watching a program about some young climbers on a rock wall.,"Indoors, a program about some young climbers on a rock wall is being watched by a child",4,"Watching a program about some young climbers on a rock wall, a child is indoors.",2
One young boy is climbing a wall made of rock,A wall made of rock is being climbed by one young boy,4,"Climbing a wall made of rock, one young boy is.",5
A young climber is making a rock wall for the boys,"For the boys, a rock wall is being made by a young climber",4,"Making a rock wall for the boys, a young climber is.",4
The cyclist is performing a trick in the air,"In the air, a trick is being performed by the cyclist",4,"In the air, the cyclist is performing a trick.",4
One man is doing a bicycle trick in midair,"In midair, a bicycle trick is being done by one man",4,"In midair, one man is doing a bicycle trick.",4
"A dog, which is black, and a white one are staring at each other in the street","In the street, a black dog and a white one are staring at each other",5,"In the street, a black dog and a white one are staring at each other.",5
Two dogs of different breeds are looking angrily at each other across a street,"Across a street, two dogs of different breeds are looking angrily at each other",4,"Across a street, two dogs of different breeds are looking angrily at each other.",5
Two dogs of different breeds are looking at each other across a street,"Across a street, two dogs of different breeds are looking at each other",4,"Across a street, two dogs of different breeds are looking at each other.",4
"A dog, which is black, and another one, which is white, are staring at each other in the street","Another one, which is white, and a dog, which is black, are staring at each other in the street",3,Staring at each other in the street are a black dog and a white dog.,4
"A dog next to a tree, which is probably a pine, is dropping a bucket","A tree, which is probably a pine, next to a dog, is dropping a bucket",3,"Dropping a bucket next to a tree, which is probably a pine, is a dog.",2
"A dog next to a tree, which is probably a pine, is biting a bucket","A tree, which is probably a pine, next to a dog, is biting a bucket",2,"Biting a bucket next to a tree, which is probably a pine, is a dog.",2
A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,"A backyard and is carrying a basket in its mouth, a dog which is furry and black is in",2,"In a backyard, a basket is being carried in the mouth of a furry black dog.",5
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A back yard and is carrying a basket in its mouth, a dog which is furry and black is in",2,"In a back yard, a basket is being carried in the mouth of a black furry dog.",3
A dog in the backyard is carrying black fur in a basket in its mouth.,"In the backyard, a dog is carrying black fur in a basket in its mouth",3,"Carrying black fur in a basket in its mouth, a dog is in the backyard.",2
